Story,Checklist Item,Status,Comments
Story 1,Verify OCP Console Login Access,,
Story 1,Check namespace access rights using oc CLI,,
Story 1,Validate access to Pre-Prod/Prod/BCP namespaces,,
Story 2,Install Run:AI on Lew41/Man41 clusters,,
Story 2,Schedule GPU jobs using Run:AI,,
Story 2,Create dashboards for GPU usage,,
Story 2,"Set up RBAC for Run:AI (RW, RO, Power User)",,
Story 2,Validate Helm chart installation,,
Story 3,Create entitlement policies,,
Story 3,Create AD groups for platform roles,,
Story 3,"Assign roles (Admin, Dev, RO) in OCP",,
Story 3,RBAC validation on GPU namespaces,,
Story 4,Validate S3 access from OCP pods,,
Story 4,Install and validate pgvector extension,,
Story 4,Create and query sample embeddings,,
Story 5,Run LLM model on CPU and GPU,,
Story 5,Validate torch.cuda.is_available() == True,,
Story 5,Check Run:AI dashboard for GPU usage,,
Story 5,Compare CPU vs GPU inference performance,,
Story 6,Prepare onboarding SOP,,
Story 6,Test onboarding with dummy user,,
Story 6,Verify Git → Conda → Harness workflow,,
Story 6,Log feedback from onboarding session,,
